config,category,precision,recall,f1,tp,fp,fn,tn,auc_roc
ML-only RF+SMOTE (≥0.5),ml-only,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432,0.9999376919637294
"Consensus ML-majority (th=0.7, 3 models)",consensus-ml,1.0,0.8648648648648649,0.927536231884058,64,0,10,18435,
ML-only RF+SMOTE (≥0.3),ml-only,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424,0.9999376919637294
"Consensus ML-majority (th=0.5, 3 models)",consensus-ml,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432,
Hybrid-OR RF+SMOTE ≥0.7 + Rules≥9,hybrid-or,0.9846153846153847,0.8648648648648649,0.920863309352518,64,1,10,18434,0.9999376919637294
Hybrid-OR RF+SMOTE ≥0.7 + Rules≥8,hybrid-or,0.9846153846153847,0.8648648648648649,0.920863309352518,64,1,10,18434,0.9999376919637294
ML-only RF+SMOTE (≥0.7),ml-only,0.9846153846153847,0.8648648648648649,0.920863309352518,64,1,10,18434,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.5 + Rules≥5,hybrid-and,1.0,0.8378378378378378,0.9117647058823529,62,0,12,18435,0.9999376919637294
Cascade Rules→ML Rules≥5 → RF+SMOTE ≥0.5,cascade-rules-ml,1.0,0.8378378378378378,0.9117647058823529,62,0,12,18435,0.9999376919637294
ML-only RF (≥0.3),ml-only,0.875,0.9459459459459459,0.9090909090909091,70,10,4,18425,0.9997859535695175
Cascade Rules→ML Rules≥6 → RF+SMOTE ≥0.5,cascade-rules-ml,1.0,0.8243243243243243,0.9037037037037037,61,0,13,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.5 + Rules≥6,hybrid-and,1.0,0.8243243243243243,0.9037037037037037,61,0,13,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.6 + Rules≥5,hybrid-and,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435,0.9999376919637294
Consensus+Rules majority(th=0.5) AND Rules≥6,consensus-hybrid,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435,
Hybrid-OR GB ≥0.9 + Rules≥8,hybrid-or,0.9402985074626866,0.8513513513513513,0.8936170212765957,63,4,11,18431,0.9457678182657842
Hybrid-OR GB ≥0.7 + Rules≥9,hybrid-or,0.9402985074626866,0.8513513513513513,0.8936170212765957,63,4,11,18431,0.9457678182657842
Hybrid-OR GB ≥0.9 + Rules≥9,hybrid-or,0.9402985074626866,0.8513513513513513,0.8936170212765957,63,4,11,18431,0.9457678182657842
ML-only RF (≥0.5),ml-only,0.9402985074626866,0.8513513513513513,0.8936170212765957,63,4,11,18431,0.9997859535695175
Hybrid-OR GB ≥0.7 + Rules≥8,hybrid-or,0.9402985074626866,0.8513513513513513,0.8936170212765957,63,4,11,18431,0.9457678182657842
Hybrid-AND RF+SMOTE ≥0.7 + Rules≥5,hybrid-and,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435,0.9999376919637294
Cascade Rules→ML Rules≥5 → RF+SMOTE ≥0.7,cascade-rules-ml,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.6 + Rules≥6,hybrid-and,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435,0.9999376919637294
ML-only GB (≥0.3),ml-only,0.9253731343283582,0.8378378378378378,0.8794326241134752,62,5,12,18430,0.9457678182657842
